model,language,true_group,mentioned_group,rate,n
qwen2.5-vl-7b,zh,Miao,Miao,0.23,100
qwen2.5-vl-7b,zh,Miao,Dong,0.01,100
qwen2.5-vl-7b,zh,Miao,Yi,0.02,100
qwen2.5-vl-7b,zh,Miao,Li,0.0,100
qwen2.5-vl-7b,zh,Miao,Tibetan,0.01,100
qwen2.5-vl-7b,zh,Miao,geo_mislocation,0.0,100
qwen2.5-vl-7b,zh,Dong,Miao,0.22,100
qwen2.5-vl-7b,zh,Dong,Dong,0.02,100
qwen2.5-vl-7b,zh,Dong,Yi,0.0,100
qwen2.5-vl-7b,zh,Dong,Li,0.0,100
qwen2.5-vl-7b,zh,Dong,Tibetan,0.0,100
qwen2.5-vl-7b,zh,Dong,geo_mislocation,0.0,100
qwen2.5-vl-7b,zh,Yi,Miao,0.04,100
qwen2.5-vl-7b,zh,Yi,Dong,0.01,100
qwen2.5-vl-7b,zh,Yi,Yi,0.04,100
qwen2.5-vl-7b,zh,Yi,Li,0.0,100
qwen2.5-vl-7b,zh,Yi,Tibetan,0.0,100
qwen2.5-vl-7b,zh,Yi,geo_mislocation,0.0,100
qwen2.5-vl-7b,zh,Li,Miao,0.15,100
qwen2.5-vl-7b,zh,Li,Dong,0.02,100
qwen2.5-vl-7b,zh,Li,Yi,0.02,100
qwen2.5-vl-7b,zh,Li,Li,0.02,100
qwen2.5-vl-7b,zh,Li,Tibetan,0.0,100
qwen2.5-vl-7b,zh,Li,geo_mislocation,0.05,100
qwen2.5-vl-7b,zh,Tibetan,Miao,0.01,100
qwen2.5-vl-7b,zh,Tibetan,Dong,0.0,100
qwen2.5-vl-7b,zh,Tibetan,Yi,0.0,100
qwen2.5-vl-7b,zh,Tibetan,Li,0.0,100
qwen2.5-vl-7b,zh,Tibetan,Tibetan,0.35,100
qwen2.5-vl-7b,zh,Tibetan,geo_mislocation,0.0,100
qwen2.5-vl-7b,en,Miao,Miao,0.21,100
qwen2.5-vl-7b,en,Miao,Dong,0.05,100
qwen2.5-vl-7b,en,Miao,Yi,0.0,100
qwen2.5-vl-7b,en,Miao,Li,0.0,100
qwen2.5-vl-7b,en,Miao,Tibetan,0.0,100
qwen2.5-vl-7b,en,Miao,geo_mislocation,0.27,100
qwen2.5-vl-7b,en,Dong,Miao,0.14,100
qwen2.5-vl-7b,en,Dong,Dong,0.08,100
qwen2.5-vl-7b,en,Dong,Yi,0.0,100
qwen2.5-vl-7b,en,Dong,Li,0.0,100
qwen2.5-vl-7b,en,Dong,Tibetan,0.0,100
qwen2.5-vl-7b,en,Dong,geo_mislocation,0.16,100
qwen2.5-vl-7b,en,Yi,Miao,0.19,100
qwen2.5-vl-7b,en,Yi,Dong,0.05,100
qwen2.5-vl-7b,en,Yi,Yi,0.03,100
qwen2.5-vl-7b,en,Yi,Li,0.0,100
qwen2.5-vl-7b,en,Yi,Tibetan,0.01,100
qwen2.5-vl-7b,en,Yi,geo_mislocation,0.26,100
qwen2.5-vl-7b,en,Li,Miao,0.09,100
qwen2.5-vl-7b,en,Li,Dong,0.0,100
qwen2.5-vl-7b,en,Li,Yi,0.0,100
qwen2.5-vl-7b,en,Li,Li,0.01,100
qwen2.5-vl-7b,en,Li,Tibetan,0.0,100
qwen2.5-vl-7b,en,Li,geo_mislocation,0.64,100
qwen2.5-vl-7b,en,Tibetan,Miao,0.0,100
qwen2.5-vl-7b,en,Tibetan,Dong,0.0,100
qwen2.5-vl-7b,en,Tibetan,Yi,0.0,100
qwen2.5-vl-7b,en,Tibetan,Li,0.0,100
qwen2.5-vl-7b,en,Tibetan,Tibetan,0.32,100
qwen2.5-vl-7b,en,Tibetan,geo_mislocation,0.02,100
qwen2-vl-7b,zh,Miao,Miao,0.67,100
qwen2-vl-7b,zh,Miao,Dong,0.0,100
