image_id,model,language,true_group,mentions_Miao,mentions_Dong,mentions_Yi,mentions_Li,mentions_Tibetan,mentions_geo_mislocation
Tibetan_0177,claude-haiku-4.5,en,Tibetan,False,False,False,False,True,False
Dong_0375,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Tibetan_0430,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Li_0357,claude-haiku-4.5,en,Li,False,False,False,False,False,False
Li_0182,claude-haiku-4.5,en,Li,False,False,False,False,False,True
Tibetan_0260,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Tibetan_0239,claude-haiku-4.5,en,Tibetan,False,False,False,False,True,False
Li_0369,claude-haiku-4.5,en,Li,False,False,False,False,False,False
Dong_0082,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Yi_0246,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Dong_0350,claude-haiku-4.5,en,Dong,False,True,False,False,False,False
Li_0260,claude-haiku-4.5,en,Li,True,False,False,False,False,False
Yi_0011,claude-haiku-4.5,en,Yi,False,False,False,False,False,True
Dong_0074,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Tibetan_0007,claude-haiku-4.5,en,Tibetan,False,False,False,False,True,False
Tibetan_0371,claude-haiku-4.5,en,Tibetan,False,False,False,False,True,False
Yi_0281,claude-haiku-4.5,en,Yi,True,True,False,False,False,False
Dong_0596,claude-haiku-4.5,en,Dong,True,True,False,False,False,False
Tibetan_0031,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Yi_0079,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Yi_0236,claude-haiku-4.5,en,Yi,True,False,False,False,False,False
Yi_0547,claude-haiku-4.5,en,Yi,True,False,False,False,False,False
Miao_0287,claude-haiku-4.5,en,Miao,True,False,False,False,False,False
Tibetan_0210,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,True
Dong_0313,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Yi_0177,claude-haiku-4.5,en,Yi,True,False,False,False,False,False
Yi_0012,claude-haiku-4.5,en,Yi,True,False,False,False,False,True
Miao_0119,claude-haiku-4.5,en,Miao,True,False,False,False,False,False
Li_0420,claude-haiku-4.5,en,Li,True,False,False,False,False,False
Tibetan_0193,claude-haiku-4.5,en,Tibetan,True,True,False,False,False,False
Yi_0538,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Tibetan_0133,claude-haiku-4.5,en,Tibetan,True,True,False,False,False,False
Yi_0365,claude-haiku-4.5,en,Yi,True,False,False,False,False,True
Li_0375,claude-haiku-4.5,en,Li,False,False,False,False,False,True
Dong_0566,claude-haiku-4.5,en,Dong,False,False,False,False,False,True
Tibetan_0258,claude-haiku-4.5,en,Tibetan,False,False,False,False,True,False
Yi_0350,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Dong_0305,claude-haiku-4.5,en,Dong,True,False,False,False,False,True
Miao_0350,claude-haiku-4.5,en,Miao,False,False,False,False,False,False
Dong_0537,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Tibetan_0074,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Dong_0301,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Yi_0040,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Li_0040,claude-haiku-4.5,en,Li,False,False,False,False,False,False
Dong_0258,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Dong_0239,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Dong_0111,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Dong_0119,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Yi_0235,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Dong_0536,claude-haiku-4.5,en,Dong,False,True,False,False,False,False
Dong_0424,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Li_0599,claude-haiku-4.5,en,Li,True,False,False,False,False,False
Li_0164,claude-haiku-4.5,en,Li,False,False,False,False,False,True
Yi_0056,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Li_0301,claude-haiku-4.5,en,Li,True,False,False,False,False,False
Dong_0357,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Li_0064,claude-haiku-4.5,en,Li,False,False,False,False,False,True
Dong_0185,claude-haiku-4.5,en,Dong,False,False,False,False,False,False
Miao_0182,claude-haiku-4.5,en,Miao,True,False,False,False,False,False
Dong_0560,claude-haiku-4.5,en,Dong,False,False,False,False,False,False
Yi_0260,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Miao_0330,claude-haiku-4.5,en,Miao,False,False,False,False,False,False
Tibetan_0597,claude-haiku-4.5,en,Tibetan,False,False,False,False,True,False
Yi_0362,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Dong_0433,claude-haiku-4.5,en,Dong,False,True,False,False,False,False
Dong_0276,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Yi_0249,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Dong_0474,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Miao_0442,claude-haiku-4.5,en,Miao,True,False,False,False,False,False
Tibetan_0547,claude-haiku-4.5,en,Tibetan,False,False,False,False,True,False
Tibetan_0102,claude-haiku-4.5,en,Tibetan,False,False,False,False,True,False
Tibetan_0030,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Miao_0239,claude-haiku-4.5,en,Miao,True,False,False,False,False,False
Miao_0236,claude-haiku-4.5,en,Miao,True,False,False,False,False,False
Tibetan_0213,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Tibetan_0182,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Miao_0082,claude-haiku-4.5,en,Miao,False,False,False,False,False,False
Dong_0317,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Yi_0357,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Yi_0071,claude-haiku-4.5,en,Yi,True,False,False,False,False,False
Li_0592,claude-haiku-4.5,en,Li,False,False,False,False,False,False
Dong_0599,claude-haiku-4.5,en,Dong,False,False,False,False,False,False
Yi_0239,claude-haiku-4.5,en,Yi,True,False,False,False,False,False
Li_0424,claude-haiku-4.5,en,Li,False,False,False,False,False,False
Tibetan_0588,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Dong_0236,claude-haiku-4.5,en,Dong,False,False,False,False,False,False
Li_0287,claude-haiku-4.5,en,Li,True,False,False,False,False,False
Yi_0370,claude-haiku-4.5,en,Yi,False,False,False,False,True,False
Tibetan_0110,claude-haiku-4.5,en,Tibetan,False,False,False,False,True,False
Miao_0560,claude-haiku-4.5,en,Miao,False,False,False,False,False,False
Tibetan_0427,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Yi_0424,claude-haiku-4.5,en,Yi,True,False,False,False,False,False
Tibetan_0330,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Tibetan_0369,claude-haiku-4.5,en,Tibetan,False,False,False,False,True,False
Yi_0164,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Tibetan_0105,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Dong_0156,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Dong_0538,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Yi_0442,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Dong_0235,claude-haiku-4.5,en,Dong,True,False,False,False,False,False
Miao_0491,claude-haiku-4.5,en,Miao,False,False,False,False,False,True
Yi_0258,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Dong_0087,claude-haiku-4.5,en,Dong,False,True,False,False,False,False
Tibetan_0536,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Tibetan_0083,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Dong_0210,claude-haiku-4.5,en,Dong,False,False,False,False,False,False
Tibetan_0420,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Miao_0438,claude-haiku-4.5,en,Miao,True,False,False,False,False,False
Tibetan_0164,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,True
Li_0083,claude-haiku-4.5,en,Li,False,False,False,False,False,True
Li_0516,claude-haiku-4.5,en,Li,False,False,False,False,False,True
Yi_0597,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Tibetan_0454,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
Dong_0540,claude-haiku-4.5,en,Dong,False,False,False,False,False,True
Yi_0549,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Miao_0427,claude-haiku-4.5,en,Miao,False,True,False,False,False,False
Miao_0105,claude-haiku-4.5,en,Miao,True,False,False,False,False,False
Miao_0516,claude-haiku-4.5,en,Miao,True,False,False,False,False,False
Li_0213,claude-haiku-4.5,en,Li,False,False,False,False,False,True
Dong_0507,claude-haiku-4.5,en,Dong,False,False,False,False,False,True
Miao_0003,claude-haiku-4.5,en,Miao,False,False,False,False,False,False
Li_0313,claude-haiku-4.5,en,Li,False,False,False,False,False,True
Tibetan_0003,claude-haiku-4.5,en,Tibetan,False,False,False,False,True,False
Li_0556,claude-haiku-4.5,en,Li,True,False,False,False,False,False
Miao_0164,claude-haiku-4.5,en,Miao,False,False,False,False,False,False
Miao_0136,claude-haiku-4.5,en,Miao,True,False,False,False,False,False
Yi_0213,claude-haiku-4.5,en,Yi,False,False,False,False,False,False
Miao_0078,claude-haiku-4.5,en,Miao,True,False,False,False,False,False
Li_0073,claude-haiku-4.5,en,Li,False,False,False,False,False,False
Tibetan_0438,claude-haiku-4.5,en,Tibetan,False,False,False,False,False,False
