model,language,n,accuracy_shuffled,position_A_fraction,predicted_letter_counts,per_group_shuffled,accuracy_fixed,per_group_fixed,delta_accuracy
claude-haiku-4.5,en,100,0.33,0.16,"{'A': 16, 'B': 26, 'C': 18, 'D': 24, 'E': 16}","{'Dong': 0.1, 'Li': 0.1, 'Miao': 0.85, 'Tibetan': 0.3, 'Yi': 0.3}",0.284,"{'Miao': 0.678, 'Dong': 0.26, 'Yi': 0.25, 'Li': 0.022, 'Tibetan': 0.21}",0.046
claude-haiku-4.5,zh,100,0.26,0.07,"{'A': 7, 'B': 27, 'C': 25, 'D': 21, 'E': 20}","{'Dong': 0.05, 'Li': 0.1, 'Miao': 0.7, 'Tibetan': 0.2, 'Yi': 0.25}",0.33,"{'Miao': 0.275, 'Dong': 0.545, 'Yi': 0.438, 'Li': 0.027, 'Tibetan': 0.365}",-0.07
gpt-4o-mini,en,100,0.37,0.22,"{'A': 22, 'B': 23, 'C': 18, 'D': 19, 'E': 18}","{'Dong': 0.0, 'Li': 0.0, 'Miao': 1.0, 'Tibetan': 0.75, 'Yi': 0.1}",0.351,"{'Miao': 0.988, 'Dong': 0.005, 'Yi': 0.095, 'Li': 0.003, 'Tibetan': 0.665}",0.019
gpt-4o-mini,zh,100,0.35,0.21,"{'A': 21, 'B': 22, 'C': 19, 'D': 17, 'E': 21}","{'Dong': 0.0, 'Li': 0.0, 'Miao': 1.0, 'Tibetan': 0.75, 'Yi': 0.0}",0.368,"{'Miao': 0.993, 'Dong': 0.013, 'Yi': 0.05, 'Li': 0.01, 'Tibetan': 0.773}",-0.018
llama-3.2-vision-11b,en,100,0.31,0.23,"{'A': 23, 'B': 22, 'C': 22, 'D': 16, 'E': 17}","{'Dong': 0.0, 'Li': 0.0, 'Miao': 1.0, 'Tibetan': 0.55, 'Yi': 0.0}",0.27,"{'Miao': 0.997, 'Dong': 0.0, 'Yi': 0.007, 'Li': 0.0, 'Tibetan': 0.345}",0.04
llama-3.2-vision-11b,zh,100,0.43,0.37,"{'A': 37, 'B': 24, 'C': 22, 'D': 14, 'E': 3}","{'Dong': 0.15, 'Li': 0.0, 'Miao': 0.7, 'Tibetan': 0.9, 'Yi': 0.4}",0.378,"{'Miao': 0.863, 'Dong': 0.065, 'Yi': 0.417, 'Li': 0.0, 'Tibetan': 0.547}",0.052
qwen2-vl-7b,en,100,0.42,0.26,"{'A': 26, 'B': 22, 'C': 16, 'D': 20, 'E': 16}","{'Dong': 0.05, 'Li': 0.05, 'Miao': 0.9, 'Tibetan': 0.9, 'Yi': 0.2}",0.413,"{'Miao': 0.995, 'Dong': 0.012, 'Yi': 0.137, 'Li': 0.025, 'Tibetan': 0.897}",0.007
qwen2-vl-7b,zh,100,0.37,0.23,"{'A': 23, 'B': 23, 'C': 20, 'D': 18, 'E': 16}","{'Dong': 0.05, 'Li': 0.05, 'Miao': 0.9, 'Tibetan': 0.8, 'Yi': 0.05}",0.381,"{'Miao': 0.982, 'Dong': 0.067, 'Yi': 0.073, 'Li': 0.035, 'Tibetan': 0.748}",-0.011
qwen2.5-vl-7b,en,100,0.41,0.22,"{'A': 22, 'B': 23, 'C': 17, 'D': 19, 'E': 19}","{'Dong': 0.05, 'Li': 0.05, 'Miao': 1.0, 'Tibetan': 0.9, 'Yi': 0.05}",0.395,"{'Miao': 0.995, 'Dong': 0.025, 'Yi': 0.042, 'Li': 0.018, 'Tibetan': 0.893}",0.015
qwen2.5-vl-7b,zh,100,0.39,0.2,"{'A': 20, 'B': 23, 'C': 14, 'D': 20, 'E': 23}","{'Dong': 0.1, 'Li': 0.05, 'Miao': 0.8, 'Tibetan': 0.95, 'Yi': 0.05}",0.394,"{'Miao': 0.475, 'Dong': 0.368, 'Yi': 0.098, 'Li': 0.068, 'Tibetan': 0.96}",-0.004
