image_id,ethnic_group,image_path,exists,file_bytes,sha256,width,height,format,mode,phash,dhash,ahash,has_exif,exif_keys
Dong_0001,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (1).jpeg,True,128373,d62ace1b2837bc9b034a2d53b95fd95e9476b7aed2dbe2f3fb15a7d35916ba14,800,1088,JPEG,RGB,996423946a6d96f3,c2d12233f87c3a19,4050b0181c1e8f8d,False,
Dong_0002,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (10).jpeg,True,56182,4de781763bcdc26feb23fa25306c5cd75a9f098f3da81e14e6106a89923f47c2,500,666,JPEG,RGB,fa783446a76eb118,0d19392131612165,c1c1c9b999f9b1b1,False,
Dong_0003,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (100).jpeg,True,39495,56215240253eaf7b71c6ff5db9615ac070ae5042a3ef27feb7e396171d5d8fc0,500,736,JPEG,RGB,ad25e60d99738c4e,0626321233330f53,0383038b9b9b81fb,False,
Dong_0004,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (101).jpeg,True,130111,0c51b6bdca49847b34cd0882456b4f78b706f20e43401763ee9a55e26eb830a8,800,1067,JPEG,RGB,813a3ec9e89a5ad5,ebe2e9ebc2c2c2c7,0001007d7b787f63,False,
Dong_0005,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (102).jpeg,True,174695,8097714040253b5b1f417ef1fcad23fcc3c0c4014e22af76938b8105ca64ca3f,800,1422,JPEG,RGB,c23a1f51e12f6ce4,19e8a3e3c0e170c4,000c30797c7c3c3c,False,
Dong_0006,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (103).jpeg,True,124154,d431a204c5540396c70f37e37611f813aaa9b7e4fd6bbaa9575064b597b67e71,800,1200,JPEG,RGB,d8d3f32d2c6742c1,d899d175b5b129a8,fcfc7c001818bd54,False,
Dong_0007,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (104).jpeg,True,80811,042dd1581d66955c299bdce809b5fb968a535996ec1dd49228c917545ea5a4c6,800,1067,JPEG,RGB,b7d96a844b63d4c4,d13e584bfebecfeb,7fdf2f010f1f0701,False,
Dong_0008,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (105).jpeg,True,152858,63df797803157e6f32072f47265c8102d80f8729b7328f5c27931631360cc9d4,1200,800,JPEG,RGB,dbe234b8a449cf58,cce8694b38393979,642cfcfdde9c0c0c,False,
Dong_0009,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (106).jpeg,True,205785,d875b1c6c6915cf12b3306ea888c2701b2e56bf68905ecedf423bec521ad3b24,800,1200,JPEG,RGB,ac295d691ad3c1b6,1317862b2f8f0474,0101e7c181e3ffff,False,
Dong_0010,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (107).jpeg,True,103696,b8aaeb6e6dde7ce7600f644c0f85d0a522091e276614f980b3831bda1b01c501,800,1113,JPEG,RGB,d95e662d73689149,24e9b8d95292e71d,801c7c3c18dff184,False,
Dong_0011,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (108).jpeg,True,75593,8cf3e1cb9226a1c093a5ec76d2e7a4946568f3e4710639a1679c8fe4cf717719,800,1200,JPEG,RGB,99ec66de8583838b,2c329b9a1a191818,dec00c0f1c0c0c0c,False,
Dong_0012,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (109).jpeg,True,58760,d23d7227792b285231739781a2e216c1237598759a91f7d2872fd05b6ea3235f,667,500,JPEG,RGB,f6d38984215966f3,878408088c647685,ffffe00000001001,False,
Dong_0013,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (11).jpeg,True,139969,84632572e643d7cca119df640dddf23e3e03c1c363cfd7b9b81aecfd9b670ed3,800,1256,JPEG,RGB,d95b265e89194e27,313030123130b636,808088d8d89c1f1f,False,
Dong_0014,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (110).jpeg,True,47121,a74b65421fa05457e247cd8a80a4a5f7d9bf78e46516f7ef5f73619f9a685bf7,500,667,JPEG,RGB,bac185e4ade62c8d,4f59797933355d7d,ff8d818181858781,False,
Dong_0015,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (111).jpeg,True,85833,83e36cd5047217c419b391fb49d930c554a20b4c37e9be53557a30b7c70da1d8,800,1067,JPEG,RGB,99e60c93659d6cb1,70399252583818b3,fffffbe8ec0c0c01,False,
Dong_0016,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (112).jpeg,True,153247,88bc4e2e38b739e0714be2aa98e5b0db1d672f9c3e31c922e558b48dfd5bdd65,800,1200,JPEG,RGB,9aa56c9a651cb4ad,766b74e8c8f97170,10899f3c7f1e1c18,False,
Dong_0017,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (113).jpeg,True,113317,3be05a99a313087a75a7de9f01c3d526eefc381e734db1b2bf20f6486edcd0bb,800,1200,JPEG,RGB,b6ce9ab4db4084f1,6f6f66635e0e9e5e,bf8f101087070707,False,
Dong_0018,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (114).jpeg,True,63850,cb6ea6770bbf521b3457b62fa03a8d8fef6ad2d23c5411dd072a6b488ebd2a64,500,750,JPEG,RGB,8663728e5dd32770,f4cdccd0f0e4d898,0000663e3e3f3e0e,False,
Dong_0019,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (115).jpeg,True,71805,927c7f908895a473bdeddd98f1be70f00b784d5e15ece3c3226dbe792ae7297f,500,751,JPEG,RGB,e4c743463ccfc23c,e594c6a6b48c069c,70e6ffffd6e40000,False,
Dong_0020,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (116).jpeg,True,42579,692f009e706d3a54c07bc27ba8bbbcee29a14c73dc625869a4a1b93bac50f5b6,500,749,JPEG,RGB,cc9c3333a462736b,f4f4f0f4e009a2f2,1e7e787c78000038,False,
Dong_0021,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (117).jpeg,True,121482,d8bab9d30da72f52b65b26b68462243b8557c2cb08791f41c15614d38ec3f18e,800,1200,JPEG,RGB,e55837b45b986d84,f8a622abc88ececa,0c40f078f0e36720,False,
Dong_0022,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (118).jpeg,True,111158,9dd0bb602c6a244218a3908b5ba6bbb089c270e316c233fd60aec25eb23d4aed,800,1200,JPEG,RGB,ce3011d8c7f3dc38,c2a72f65e5604062,000000f0f8f8fcfa,False,
Dong_0023,Dong,data/服饰2/民族服饰/侗族/侗族服饰 (119).jpeg,True,134657,58d599cb36c62535c177b21b02606c064e596bbcdedfff8240b518994313e5a8,800,1200,JPEG,RGB,99d0719b71599669,f8f0f4f0f161b3d2,1c1c1e1c1c3c1808,False,
